doc_no,erp_amount,db_amount,max_date,payment_amount,max_date_payment,total_db,tx_date,diff
17022,0.0,1202.38,2022-12-22,0.0,,1202.38,2022-12-22,-1202.38
17052,0.0,6973.72,2022-12-23,0.0,,6973.72,2022-12-23,-6973.72
17055,0.0,3450.0,2022-12-23,0.0,,3450.0,2022-12-23,-3450.0
17430,0.0,0.0,,-4275.07,2022-12-23,-4275.07,2022-12-23,4275.07
4420,0.0,-1196.0,2022-12-27,0.0,,-1196.0,2022-12-27,1196.0
4421,0.0,-1725.0,2022-12-27,0.0,,-1725.0,2022-12-27,1725.0
4422,0.0,-3450.0,2022-12-27,0.0,,-3450.0,2022-12-27,3450.0
17451,0.0,0.0,,-6974.0,2022-12-27,-6974.0,2022-12-27,6974.0
17062,0.0,3713.98,2022-12-27,0.0,,3713.98,2022-12-27,-3713.98
17108,0.0,345.0,2022-12-29,0.0,,345.0,2022-12-29,-345.0
17100,0.0,3713.98,2022-12-29,0.0,,3713.98,2022-12-29,-3713.98
17527,0.0,0.0,,-3714.0,2022-12-29,-3714.0,2022-12-29,3714.0
17138,0.0,690.0,2022-12-30,0.0,,690.0,2022-12-30,-690.0
17127,0.0,3259.78,2022-12-30,-2977.24,2022-12-07,282.54,2022-12-30,-282.54
17540,0.0,0.0,,-3714.0,2023-01-02,-3714.0,2023-01-02,3714.0
17165,0.0,5049.95,2023-01-03,0.0,,5049.95,2023-01-03,-5049.95
17550,0.0,0.0,,-3634.0,2023-01-03,-3634.0,2023-01-03,3634.0
17617,0.0,0.0,,-4670.0,2023-01-06,-4670.0,2023-01-06,4670.0
17209,0.0,5184.05,2023-01-06,0.0,,5184.05,2023-01-06,-5184.05
17631,0.0,0.0,,-5189.0,2023-01-09,-5189.0,2023-01-09,5189.0
4452,0.0,-345.0,2023-01-09,0.0,,-345.0,2023-01-09,345.0
4453,0.0,-690.0,2023-01-09,0.0,,-690.0,2023-01-09,690.0
17230,0.0,3154.31,2023-01-09,0.0,,3154.31,2023-01-09,-3154.31
17262,0.0,3785.18,2023-01-12,0.0,,3785.18,2023-01-12,-3785.18
17321,0.0,345.0,2023-01-17,0.0,,345.0,2023-01-17,-345.0
17309,0.0,3565.75,2023-01-17,0.0,,3565.75,2023-01-17,-3565.75
17742,0.0,0.0,,-3785.2,2023-01-17,-3785.2,2023-01-17,3785.2
17771,0.0,0.0,,-3566.0,2023-01-20,-3566.0,2023-01-20,3566.0
17344,0.0,3538.32,2023-01-20,0.0,,3538.32,2023-01-20,-3538.32
4493,0.0,-345.0,2023-01-20,0.0,,-345.0,2023-01-20,345.0
17377,0.0,3949.76,2023-01-25,0.0,,3949.76,2023-01-25,-3949.76
17814,0.0,0.0,,-3922.0,2023-01-25,-3922.0,2023-01-25,3922.0
17398,0.0,4086.89,2023-01-27,0.0,,4086.89,2023-01-27,-4086.89
17432,0.0,4306.32,2023-01-30,0.0,,4306.32,2023-01-30,-4306.32
17861,0.0,0.0,,-3560.0,2023-01-30,-3560.0,2023-01-30,3560.0
17897,0.0,0.0,,-4312.0,2023-02-02,-4312.0,2023-02-02,4312.0
17456,0.0,4443.47,2023-02-02,0.0,,4443.47,2023-02-02,-4443.47
17911,0.0,0.0,,-2112.2,2023-02-03,-2112.2,2023-02-03,2112.2
17474,0.0,2112.02,2023-02-03,0.0,,2112.02,2023-02-03,-2112.02
17498,0.0,2385.09,2023-02-06,0.0,,2385.09,2023-02-06,-2385.09
17492,0.0,2385.09,2023-02-06,0.0,,2385.09,2023-02-06,-2385.09
17928,0.0,0.0,,-4443.5,2023-02-06,-4443.5,2023-02-06,4443.5
4519,0.0,-2385.09,2023-02-07,0.0,,-2385.09,2023-02-07,2385.09
17979,0.0,0.0,,-2385.0,2023-02-09,-2385.0,2023-02-09,2385.0
17562,0.0,4114.94,2023-02-09,0.0,,4114.94,2023-02-09,-4114.94
18024,0.0,0.0,,-4120.0,2023-02-14,-4120.0,2023-02-14,4120.0
17610,0.0,3852.85,2023-02-14,0.0,,3852.85,2023-02-14,-3852.85
17678,0.0,3774.22,2023-02-17,0.0,,3774.22,2023-02-17,-3774.22
18088,0.0,0.0,,-3848.0,2023-02-17,-3848.0,2023-02-17,3848.0
18095,0.0,0.0,,-3725.0,2023-02-19,-3725.0,2023-02-19,3725.0
17699,0.0,3381.07,2023-02-19,-3154.5,2023-01-12,226.57,2023-02-19,-226.57
18147,0.0,0.0,,-3380.0,2023-02-22,-3380.0,2023-02-22,3380.0
17772,0.0,3879.05,2023-02-22,0.0,,3879.05,2023-02-22,-3879.05
18220,0.0,0.0,,-3880.0,2023-02-24,-3880.0,2023-02-24,3880.0
17819,0.0,4508.09,2023-02-24,0.0,,4508.09,2023-02-24,-4508.09
18226,0.0,0.0,,-4508.1,2023-02-26,-4508.1,2023-02-26,4508.1
17831,0.0,4377.04,2023-02-26,-4087.0,2023-01-27,290.04,2023-02-26,-290.04
18035,0.0,4612.93,2023-02-28,0.0,,4612.93,2023-02-28,-4612.93
18441,0.0,0.0,,-4377.1,2023-02-28,-4377.1,2023-02-28,4377.1
18067,0.0,4428.0103,2023-03-02,0.0,,4428.01,2023-03-02,-4428.01
18507,0.0,0.0,,-4613.0,2023-03-02,-4613.0,2023-03-02,4613.0
18091,0.0,2613.74,2023-03-03,0.0,,2613.74,2023-03-03,-2613.74
18519,0.0,0.0,,-2614.0,2023-03-03,-2614.0,2023-03-03,2614.0
18635,0.0,0.0,,-4428.01,2023-03-05,-4428.01,2023-03-05,4428.01
18192,0.0,4428.0103,2023-03-05,0.0,,4428.01,2023-03-05,-4428.01
18322,0.0,3967.36,2023-03-08,0.0,,3967.36,2023-03-08,-3967.36
18741,0.0,0.0,,-4430.0,2023-03-08,-4430.0,2023-03-08,4430.0
18401,0.0,4428.67,2023-03-10,0.0,,4428.67,2023-03-10,-4428.67
18817,0.0,0.0,,-4428.7,2023-03-10,-4428.7,2023-03-10,4428.7
18424,0.0,3721.32,2023-03-12,0.0,,3721.32,2023-03-12,-3721.32
18867,0.0,0.0,,-3967.4,2023-03-12,-3967.4,2023-03-12,3967.4
18508,0.0,3721.32,2023-03-15,0.0,,3721.32,2023-03-15,-3721.32
18969,0.0,0.0,,-3722.4,2023-03-15,-3722.4,2023-03-15,3722.4
18555,0.0,4485.0,2023-03-16,0.0,,4485.0,2023-03-16,-4485.0
18994,0.0,0.0,,-3721.3,2023-03-16,-3721.3,2023-03-16,3721.3
18551,0.0,5412.83,2023-03-16,0.0,,5412.83,2023-03-16,-5412.83
4615,0.0,-3795.0,2023-03-16,0.0,,-3795.0,2023-03-16,3795.0
19084,0.0,0.0,,-2891.0,2023-03-17,-2891.0,2023-03-17,2891.0
18598,0.0,2890.94,2023-03-17,0.0,,2890.94,2023-03-17,-2890.94
19098,0.0,0.0,,-5412.8,2023-03-21,-5412.8,2023-03-21,5412.8
4632,0.0,-690.0,2023-03-21,0.0,,-690.0,2023-03-21,690.0
18636,0.0,4028.86,2023-03-21,0.0,,4028.86,2023-03-21,-4028.86
19157,0.0,0.0,,-4029.0,2023-03-23,-4029.0,2023-03-23,4029.0
18697,0.0,3936.61,2023-03-23,0.0,,3936.61,2023-03-23,-3936.61
19302,0.0,0.0,,-3936.4,2023-03-27,-3936.4,2023-03-27,3936.4
18816,0.0,3413.78,2023-03-27,0.0,,3413.78,2023-03-27,-3413.78
19336,0.0,0.0,,-2645.0,2023-03-28,-2645.0,2023-03-28,2645.0
18854,0.0,2644.9,2023-03-28,0.0,,2644.9,2023-03-28,-2644.9
19380,0.0,0.0,,-3414.0,2023-03-30,-3414.0,2023-03-30,3414.0
18897,0.0,4274.91,2023-03-30,0.0,,4274.91,2023-03-30,-4274.91
19390,0.0,0.0,,-4275.0,2023-03-31,-4275.0,2023-03-31,4275.0
18929,0.0,3444.53,2023-03-31,0.0,,3444.53,2023-03-31,-3444.53
19002,0.0,2552.64,2023-04-02,0.0,,2552.64,2023-04-02,-2552.64
19003,0.0,2415.0,2023-04-02,0.0,,2415.0,2023-04-02,-2415.0
